vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,workflow_state,parent_guids,ratings
1.2.7,group,   Diễn giải các kiến thức về cơ tính trong vật liệu như sự biến dạng__COMMA__ sự mỏi của vật liệu__COMMA__ nứt vỡ hoặc phá hủy vật liệu Có thể xử lý các bài toán đơn giản về cơ tính trong vật liệu (31)  {aS4},,1.2.7,,,,1.2,
1.2.8,group,   Diễn giải các kiến thức cơ bản về vật lý lượng tử__COMMA__ vật lý thống kê__COMMA__ vật lý chất rắn ứng dụng cho khoa học vật liệu (30) {aS4},,1.2.8,,,,1.2,
1.2.9,group,   Thực nghiệm cơ bản (37),,1.2.9,,,,1.2,
1.2.9_a,outcome, Thực hành sử dụng các máy móc__COMMA__ dụng cụ thí nghiệm {CP},,1.2.9_a,,,,1.2.9,
1.2.9_b,outcome, Đánh giá tầm quan trọng của các thí nghiệm__COMMA__ máy móc__COMMA__ thiết bị {aE4},,1.2.9_b,,,,1.2.9,
1.3,group,  KIẾN THỨC CƠ SỞ KỸ THUẬT NÂNG CAO,,1.3,,,,1,
1.3.1,group,   Tiến hành thí nghiệm cho một quy trình chế tạo__COMMA__ xử lý__COMMA__ đo đạc một số loại vật liệu đơn giản (37) {aE4},,1.3.1,,,,1.3,
1.3.2,group,   Tiến hành thí nghiệmthực hành liên ngành khi kết hợp làm việc giữa công nghệ vật liệu và các ngành kỹ thuật khác như điện tử__COMMA__ công nghệ thông tin (34) {aE4},,1.3.2,,,,1.3,
1.3.3,group,   Định hướng vật liệu điện tử,,1.3.3,,,,1.3,
3.0,group, Diễn giải các khái niệm và tính chất cơ bản của vật liệu và linh kiện điện tử () {aS4},,3.0,,,,3,
3.2,group, Thảo luậngiải thích các vật liệu điện tử lưu trữ và chuyển hóa năng lượng () {aE1},,3.2,,,,3,
3.0,group, Thảo luậngiải thích công nghệ chế tạo__COMMA__ các phương pháp khảo sát () {aS4},,3.0,,,,3,
3.2,group, Thảo luậngiải thích các ứng dụng ở kích thước micro và nano () {aS1},,3.2,,,,3,
1.3.4,group,   Định hướng polymer và composite,,1.3.4,,,,1.3,
3.3,group, Diễn giải các kiến thức nâng cao về hóa vô cơ__COMMA__ hóa hữu cơ__COMMA__ hóa phân tích () {aS4},,3.3,,,,3,
3.2,group, Diễn giải về hóa học và hóa lý cho polymer () {aS4},,3.2,,,,3,
3.4,group, Thực hành các kỹ thuật và công nghệ chất dẻo__COMMA__ cao su__COMMA__ vật liệu polymercomposite () {aS3},,3.4,,,,3,
3.2,group, Thảo luậntrình bày các công nghệ về chất tạo màng và sơn () {aS3},,3.2,,,,3,
1.3.5,group,   Định hướng vật liệu gốm (ceramics) ,,1.3.5,,,,1.3,
3.4,group, Diễn giải các kiến thức nâng cao về cấu trúc hóa học và tinh thể () {aS4},,3.4,,,,3,
3.2,group, Trình bày các kiến thức nâng cao về chuyển pha () {aS4},,3.2,,,,3,
3.0,group, Trình bày các tính chất cơ nhiệt điện từ cho gốm () {aS4},,3.0,,,,3,
3.3,group, Thảo luận các công nghệ và phương pháp chế tạo gốm sứ () {aS3},,3.3,,,,3,
1.3.6,group,   Định hướng vật liệu y sinh ,,1.3.6,,,,1.3,
3.1,group, Diễn giải các kiến thức về hóa sinh cho vật liệu y sinh () {aS4},,3.1,,,,3,
3.0,group, Trình bày các kiến thức về sinh học cho vật liệu y sinh () {aS4},,3.0,,,,3,
3.2,group, Trình bày các kiến thức về sư tương thích sinh học của vật liệu () {aS4},,3.2,,,,3,
3.0,group, Thảo luận các quá trình chế tạo vật liệu y sinh () {aS3},,3.0,,,,3,
1.3.7,group,   Định hướng vật liệu năng lượng ,,1.3.7,,,,1.3,
3.1,group, Diễn giải các khái niệm cơ bản về kỹ thuật năng lượng__COMMA__ năng lượng tái tạo () {aS4},,3.1,,,,3,
3.1,group, Diễn giải các kiến thức về vật liệu nano cho năng lượng mặt trời () {aS4},,3.1,,,,3,
3.0,group, Thảo luận về vật liệu lưu trữ và chuyển hóa năng lượng () {aS4},,3.0,,,,3,
2.9,group, Trình bày kiến thức và kỹ năng khoa học vật liệu ứng dụng cho kỹ thuật năng lượng () {aS4},,2.9,,,,2,
2.9_a,outcome,,,2.9_a,,,,2.9,
 2 ,group,  KỸ NĂNG VÀ PHẨM CHẤT CÁ NHÂN VÀ NGHỀ NGHIỆP,, 2 ,,,,,
2.1,group,  LẬP LUẬN PHÂN TÍCH VÀ GIẢI QUYẾT VẤN ĐỀ (34),,2.1,,,,2,
2.1.1,group,   Xác định và nêu vấn đề (34),,2.1.1,,,,2.1,
2.1.1_a,outcome,  Xác địnhphân loại dữ liệu và dấu hiệu {cE1},,2.1.1_a,,,,2.1.1,
2.1.1_b,outcome,  Thảo luận các giả định và những nguồn định kiến {aE1},,2.1.1_b,,,,2.1.1,
2.1.1_c,outcome,  Giải quyết các vấn đề được ưu tiên đối với mục tiêu chung {CP},,2.1.1_c,,,,2.1.1,
2.1.1_d,outcome,  Chọn các kế hoạch giải quyết vấn đề (mô hình phối hợp__COMMA__ các giải pháp giải tích và số__COMMA__ phân tích định tính__COMMA__ thử nghiệm và xem xét các yếu tố bất định) {bS2},,2.1.1_d,,,,2.1.1,
2.1.2,group,   Mô hình hóa (34),,2.1.2,,,,2.1,
2.1.2_a,outcome,  Xác định các giả định để đơn giản hóa các hệ thống và môi trường phức hợp {cS4},,2.1.2_a,,,,2.1.2,
2.1.2_b,outcome,  Áp dụng các mô hình khái niệm và định tính {cS2__COMMA__ cS1},,2.1.2_b,,,,2.1.2,
2.1.2_c,outcome,  Áp dụng các mô hình định lượng và mô phỏng {cS2__COMMA__ cS1},,2.1.2_c,,,,2.1.2,
2.1.3,group,   Ước lượng và phân tích định tính (34),,2.1.3,,,,2.1,
2.1.3_a,outcome,  Giải thích chủ quan các biên độ__COMMA__ giới hạn và khuynh hướng {bE3},,2.1.3_a,,,,2.1.3,
2.1.3_b,outcome,  Áp dụng các cách kiểm tra về tính nhất quán và lỗi (giới hạn__COMMA__ đơn vị__COMMA__ vv) {cS1},,2.1.3_b,,,,2.1.3,
2.1.3_c,outcome,  Tiến hành tổng quát hóa của các giải pháp phân tích {CP},,2.1.3_c,,,,2.1.3,
2.1.4,group,   Phân tích với các yếu tố bất định (34),,2.1.4,,,,2.1,
2.1.4_a,outcome,  Xác định các thông tin không hoàn chỉnh và mơ hồ {cE3},,2.1.4_a,,,,2.1.4,
2.1.4_b,outcome,  Giải thích theo quan điểm cá nhân các mô hình xác suất và thống kê sự kiện và trình tự {bS1},,2.1.4_b,,,,2.1.4,
2.1.4_c,outcome,  Giải thích theo quan điểm cá nhân các phân tích về chi phílợi ích kỹ thuật và rủi ro {bS3},,2.1.4_c,,,,2.1.4,
2.1.4_d,outcome,  Thực hiện các phân tích về quyết định {aS3},,2.1.4_d,,,,2.1.4,
2.1.4_e,outcome,  Chuẩn bị các giới hạn và mức độ dự phòng {cS5},,2.1.4_e,,,,2.1.4,
2.1.5,group,   Giải pháp và đề xuất (34),,2.1.5,,,,2.1,
2.1.5_a,outcome,  Lựa chọn các giải pháp cho vấn đề {bS2},,2.1.5_a,,,,2.1.5,
2.1.5_b,outcome,  Phân tích các kết quả quan trọng của các giải pháp và các dữ liệu dùng để kiểm tra {cE1},,2.1.5_b,,,,2.1.5,
2.1.5_c,outcome,  Thảo luận các khác biệt trong các kết quả {aE1__COMMA__ aE2},,2.1.5_c,,,,2.1.5,
2.1.5_d,outcome,  Giải thích chủ quan các đề xuất tóm lược {bS2},,2.1.5_d,,,,2.1.5,
2.1.5_e,outcome,  Thảo luận những cải tiến có thể trong quá trình giải quyết vấn đề {aE1},,2.1.5_e,,,,2.1.5,
2.2,group,  THỬ NGHIỆM__COMMA__ NGHIÊN CỨU VÀ KHÁM PHÁ TRI THỨC (33),,2.2,,,,2,
2.2.1,group,   Nêu giả thuyết (33),,2.2.1,,,,2.2,
2.2.1_a,outcome,  Lựa chọn những câu hỏi quan trọng để xem xét trả lời {cS2},,2.2.1_a,,,,2.2.1,
2.2.1_b,outcome,  Lựa chọn những giả thuyết cần kiểm tra {cS2},,2.2.1_b,,,,2.2.1,
2.2.1_c,outcome,  Thảo luận về đối chứng và các nhóm đối chứng {aS4},,2.2.1_c,,,,2.2.1,
2.2.2,group,   Khảo sát qua tài liệu và thông tin điện tử (33),,2.2.2,,,,2.2,
2.2.2_a,outcome,  Lựa chọn các chiến lược nghiên cứu tài liệu và truyền thông {aS2},,2.2.2_a,,,,2.2.2,
2.2.2_b,outcome,  Thưc hiện tìm kiếm và xác định thông tin qua thư viện__COMMA__ công cụ trực tuyến và cơ sở dữ liệu {CP},,2.2.2_b,,,,2.2.2,
2.2.2_c,outcome,  Tiến hành sắp xếp và phân loại thông tin chính yếu {CP},,2.2.2_c,,,,2.2.2,
2.2.2_d,outcome,  Thảo luận về chất lượng và độ tin cậy của thông tin {aE3},,2.2.2_d,,,,2.2.2,
2.2.2_e,outcome,  Xác định những nội dung hữu ích và đổi mới hàm chứa trong thông tin {cE2},,2.2.2_e,,,,2.2.2,
2.2.2_f,outcome,  Phân loại những vấn đề nghiên cứu chưa được trả lời {cE2},,2.2.2_f,,,,2.2.2,
2.2.2_g,outcome,  Liệt kê những trích dẫn về tài liệu tham khảo {cE1},,2.2.2_g,,,,2.2.2,
2.2.3,group,   Điều tra qua thí nghiệm (33),,2.2.3,,,,2.2,
2.2.3_a,outcome,  Thảo luận về khái niệm và chiến lược thí nghiệm {aS2},,2.2.3_a,,,,2.2.3,
2.2.3_b,outcome,  Thảo luận về những đề phòng khi thí nghiệm với con người {aS3},,2.2.3_b,,,,2.2.3,
2.2.3_c,outcome,  Thảo luận về nghiên cứu dựa trên các phương pháp khoa học xã hội {CP},,2.2.3_c,,,,2.2.3,
2.2.3_d,outcome,  Tiến hành xây dựng thí nghiệm {CP},,2.2.3_d,,,,2.2.3,
2.2.3_e,outcome,  Chuẩn bị các biên bản và các thủ tục thí nghiệm {bS3},,2.2.3_e,,,,2.2.3,
2.2.3_f,outcome,  Tiến hành các đo đạc thực nghiệm {cS3},,2.2.3_f,,,,2.2.3,
2.2.3_g,outcome,  Trình bày dữ liệu thực nghiệm {bE1},,2.2.3_g,,,,2.2.3,
2.2.3_h,outcome,  Thảo luận dữ liệu thực nghiệm so với những mô hình có sẵn {aE2},,2.2.3_h,,,,2.2.3,
2.2.4,group,   Kiểm tra và bảo vệ giả thuyết (33),,2.2.4,,,,2.2,
2.2.4_a,outcome,  Phân tích tính hiệu lực về thống kê của dữ liệu {aE1},,2.2.4_a,,,,2.2.4,
2.2.4_b,outcome,  Thảo luận những giới hạn của dữ liệu được sử dụng {aE1},,2.2.4_b,,,,2.2.4,
2.2.4_c,outcome,  Trình bày các kết luận__COMMA__ dữ liệu hỗ trợ__COMMA__ các nhu cầu và giá trị {bS5},,2.2.4_c,,,,2.2.4,
2.2.4_d,outcome,  Thảo luận những cải tiến có thể có trong quá trình khám phá tri thức {aE1},,2.2.4_d,,,,2.2.4,
2.3,group,  TƯ DUY TẦM HỆ THỐNG (32),,2.3,,,,2,
2.3.1,group,   Tư duy toàn cục (32),,2.3.1,,,,2.3,
2.3.1_a,outcome,  Xác định và định nghĩa hệ thống__COMMA__ chức năng và sự vận hành__COMMA__ và các thành phần {cE1},,2.3.1_a,,,,2.3.1,
2.3.1_b,outcome,  Sử dụng những phương pháp tiếp cận liên ngành đảm bảo hệ thống được hiểu từ mọi phía liên quan {cE1},,2.3.1_b,,,,2.3.1,
2.3.1_c,outcome,  Xác định bối cảnh xã hội__COMMA__ doanh nghiệp và công nghệ của hệ thống {cE1},,2.3.1_c,,,,2.3.1,
2.3.1_d,outcome,  Xác định những tương tác bên ngoài tới hệ thống__COMMA__ và tác động vận hành của hệ thống {cE1},,2.3.1_d,,,,2.3.1,
2.3.2,group,   Sự nảy sinh và tương tác trong hệ thống (32),,2.3.2,,,,2.3,
2.3.2_a,outcome,  Thảo luận những khái quát cần thiết để định nghĩa và mô hình hóa các thực thể hoặc thành phần của hệ thống {aS2},,2.3.2_a,,,,2.3.2,
2.3.2_b,outcome,  Xác định những mối liên hệ__COMMA__ tương tác và giao diện quan trọng giữa các thành phần {cE1},,2.3.2_b,,,,2.3.2,
2.3.2_c,outcome,  Xác định các đặc tính chức năng và vận hành (chủ ý và không chủ ý) phát sinh từ hệ thống {cS2},,2.3.2_c,,,,2.3.2,
2.3.2_d,outcome,  Nhận biết sự thích ứng tiến triển theo thời gian {cS5},,2.3.2_d,,,,2.3.2,
2.3.3,group,   Sắp xếp trình tự ưu tiên và tập trung (32),,2.3.3,,,,2.3,
2.3.3_a,outcome,  Xác định và phân loại tất cả các nhân tố liên quan đến toàn hệ thống {cE2},,2.3.3_a,,,,2.3.3,
2.3.3_b,outcome,  Xác định các nhân tố chính yếu từ trong hệ thống {cE2},,2.3.3_b,,,,2.3.3,
2.3.3_c,outcome,  Giải thích sự phân bổ năng lượng và nguồn lực để giải quyết các vấn đề trọng yếu {aS5},,2.3.3_c,,,,2.3.3,
2.3.4,group,   Dung hòa__COMMA__ đánh giá và cân bằng trong giải quyết (32),,2.3.4,,,,2.3,
2.3.4_a,outcome,  Xác định mâu thuẫn và các nhân tố để giải quyết bằng cách dung hòa {cE2},,2.3.4_a,,,,2.3.4,
2.3.4_b,outcome,  Chọn và sử dụng các giải pháp để cân bằng các nhân tố khác nhau__COMMA__ giải quyết các mâu thuẫn và tối ưu hóa toàn bộ hệ thống {bS2__COMMA__ bS4},,2.3.4_b,,,,2.3.4,
2.3.4_c,outcome,  Miêu tả các giải pháp linh hoạt so với các giải pháp tối ưu trong suốt vòng đời hệ thống {aS2},,2.3.4_c,,,,2.3.4,
2.3.4_d,outcome,  Thảo luận những cải tiến có thể trong tư duy tầm hệ thống được sử dụng {aE1},,2.3.4_d,,,,2.3.4,
2.4,group,  THÁI ĐỘ__COMMA__ TƯ TƯỞNG__COMMA__ VÀ HỌC TẬP (36),,2.4,,,,2,
2.4.1,group,   Sáng kiến và sẵn sàng quyết định chấp nhận rủi ro (36),,2.4.1,,,,2.4,
2.4.1_a,outcome,  Phân tích các nhu cầu và cơ hội cho sáng kiến {cE1},,2.4.1_a,,,,2.4.1,
2.4.1_b,outcome,  Sẵn sàng tham gia lãnh đạo trong những nỗ lực mới__COMMA__ với khuyng hướng hành động đúng đắn {A},,2.4.1_b,,,,2.4.1,
2.4.1_c,outcome,  Lựa chọn các quyết định dựa trên thông tin sẵn có {aS2},,2.4.1_c,,,,2.4.1,
2.4.1_d,outcome,  Thảo luận về phát triển một quá trình hoạt động {CP},,2.4.1_d,,,,2.4.1,
2.4.1_e,outcome,  Sẵn sàng thảo luận về các lợi ích tiềm năng và rủi ro của một hành động hay quyết định {A},,2.4.1_e,,,,2.4.1,
2.4.2,group,   Kiên trì__COMMA__ sẵn sàng và quyết tâm__COMMA__ tháo vát và linh hoạt (36),,2.4.2,,,,2.4,
2.4.2_a,outcome,  Thể hiện ý thức trách nhiệm về kết quả {A},,2.4.2_a,,,,2.4.2,
2.4.2_b,outcome,  Thể hiện sự tự tin__COMMA__ lòng can đảm__COMMA__ và niềm đam mê {A},,2.4.2_b,,,,2.4.2,
2.4.2_c,outcome,  Thể hiện sự quyết tâm hoàn thành mục tiêu {A},,2.4.2_c,,,,2.4.2,
2.4.2_d,outcome,  Biết và thảo luận về tầm quan trọng của làm việc chăm chỉ__COMMA__ có cường độ cao__COMMA__ và chú ý đến chi tiết {A},,2.4.2_d,,,,2.4.2,
2.4.2_e,outcome,  Thể hiện hành động dứt khoát__COMMA__ cung cấp các kết quả__COMMA__ và báo cáo về các hoạt động {A},,2.4.2_e,,,,2.4.2,
2.4.2_f,outcome,  Sẵn sàng thảo luận về thích ứng với thay đổi {A},,2.4.2_f,,,,2.4.2,
2.4.2_g,outcome,  Sử dụng khéo léo các nguồn lực theo tình hình {CP},,2.4.2_g,,,,2.4.2,
2.4.2_h,outcome,  Thể hiện sự sẵn sàng__COMMA__ tự nguyện và khả năng làm việc độc lập {A},,2.4.2_h,,,,2.4.2,
2.4.2_i,outcome,  Thể hiện sự sẵn sàng làm việc với người khác__COMMA__ xem xét và bao quát các quan điểm khác nhau {A},,2.4.2_i,,,,2.4.2,
2.4.2_j,outcome,  Hiểu và có thể nói chuyện để chấp nhận đóng góp__COMMA__ phê bình và sẵn sàng để suy ngẫm và phản hồi {A},,2.4.2_j,,,,2.4.2,
2.4.2_k,outcome,  Thảo luận về sự cân bằng giữa cuộc sống cá nhân và nghề nghiệp {A},,2.4.2_k,,,,2.4.2,
2.4.3,group,   Tư duy sáng tạo (36),,2.4.3,,,,2.4,
2.4.3_a,outcome,  Thảo luận về khái niệm hóa và trừu tượng hóa {CP},,2.4.3_a,,,,2.4.3,
2.4.3_b,outcome,  Giải thích về tổng hợp và tổng quát hóa {CP},,2.4.3_b,,,,2.4.3,
2.4.3_c,outcome,  Trình bày về quá trình phát minh {CP},,2.4.3_c,,,,2.4.3,
2.4.3_d,outcome,  So sánh vai trò của sáng tạo trong nghệ thuật__COMMA__ khoa học__COMMA__ nhân văn__COMMA__ và công nghệ {aE2},,2.4.3_d,,,,2.4.3,
2.4.4,group,   Tư duy suy xét (36),,2.4.4,,,,2.4,
2.4.4_a,outcome,  Phân tích mục đích và phát biểu của một vấn đề {bE1},,2.4.4_a,,,,2.4.4,
2.4.4_b,outcome,  Lựa chọn các giả định {cS2},,2.4.4_b,,,,2.4.4,
2.4.4_c,outcome,  Xác định những lý lẽ logic và các giải pháp {cE4},,2.4.4_c,,,,2.4.4,
2.4.4_d,outcome,  Phân tích các bằng chứng hỗ trợ__COMMA__ sự thật và thông tin {cE1},,2.4.4_d,,,,2.4.4,
2.4.4_e,outcome,  So sánh các quan điểm và lý thuyết {cE2},,2.4.4_e,,,,2.4.4,
2.4.4_f,outcome,  Xác định các kết luận và ý nghĩa {cE1},,2.4.4_f,,,,2.4.4,
2.4.4_g,outcome,  Tiến hành suy ngẫm về chất lượng tư duy {CP},,2.4.4_g,,,,2.4.4,
2.4.5,group,   Sự tự nhận thức__COMMA__ nhận thức về kiến thức và tích hợp kiến thức (36),,2.4.5,,,,2.4,
2.4.5_a,outcome,  Trình bày các kỹ năng__COMMA__ mối quan tâm__COMMA__ điểm mạnh__COMMA__ và điểm yếu của bản thân {aE1},,2.4.5_a,,,,2.4.5,
2.4.5_b,outcome,  Sẵn sàng thảo luận về giới hạn khả năng của bản thân__COMMA__ và trách nhiệm cho sự tiến bộ của bản thân để khắc phục những điểm yếu quan trọng {A},,2.4.5_b,,,,2.4.5,
2.4.5_c,outcome,  Sẵn sàng thảo luận về tầm quan trọng của cả độ sâu và độ rộng của kiến thức {A},,2.4.5_c,,,,2.4.5,
2.4.5_d,outcome,  Tìm hiểu về xác định việc tư duy của bản thân có hiệu quả như thế nào và theo cách nào {bE1},,2.4.5_d,,,,2.4.5,
2.4.5_e,outcome,  Phân tích sự liên kết kiến thức với nhau và xác định cấu trúc của kiến thức {aE1},,2.4.5_e,,,,2.4.5,
2.4.6,group,   Học tập và rèn luyện suốt đời (36),,2.4.6,,,,2.4,
2.4.6_a,outcome,  Thể hiện động lực tự rèn luyện thường xuyên {A},,2.4.6_a,,,,2.4.6,
2.4.6_b,outcome,  Thực hiện các kỹ năng tự rèn luyện {aS3},,2.4.6_b,,,,2.4.6,
2.4.6_c,outcome,  Tiến hành các cách học riêng của bản thân {aS3},,2.4.6_c,,,,2.4.6,
2.4.6_d,outcome,  Thảo luận các mối quan hệ với người hướng dẫn {CP},,2.4.6_d,,,,2.4.6,
2.4.6_e,outcome,  Tham gia giúp người khác trong học tập {A},,2.4.6_e,,,,2.4.6,
2.4.7,group,   Quản lý thời gian và nguồn lực (36),,2.4.7,,,,2.4,
2.4.7_a,outcome,  Tiến hành sắp xếp nhiệm vụ theo thứ tự ưu tiên {CP},,2.4.7_a,,,,2.4.7,
2.4.7_b,outcome,  Thảo luận về tầm quan trọng và hay tính cấp bách của các nhiệm vụ {aE2},,2.4.7_b,,,,2.4.7,
2.4.7_c,outcome,  Sẵn sàng tham gia thực hiện hiệu quả các nhiệm vụ {CP},,2.4.7_c,,,,2.4.7,
2.5,group,  ĐẠO ĐỨC__COMMA__ CÔNG BẰNG VÀ CÁC TRÁCH NHIỆM KHÁC (38),,2.5,,,,2,
2.5.1,group,   Đạo đức__COMMA__ liêm chính và trách nhiệm xã hội (38),,2.5.1,,,,2.5,
2.5.1_a,outcome,  Thể hiện các tiêu chuẩn và nguyên tắc về đạo đức của bản thân {A},,2.5.1_a,,,,2.5.1,
2.5.1_b,outcome,  Thể hiện sự can đảm để hành động theo nguyên tắc bất chấp hoàn cảnh không thuận lợi {A},,2.5.1_b,,,,2.5.1,
2.5.1_c,outcome,  Xác định các khả năng mâu thuẫn giữa những mệnh lệnh đạo đức nghề nghiệp {cE2},,2.5.1_c,,,,2.5.1,
2.5.1_d,outcome,  Thể hiện sự cam kết để phục vụ {A},,2.5.1_d,,,,2.5.1,
2.5.1_e,outcome,  Thể hiện tính trung thực {A},,2.5.1_e,,,,2.5.1,
2.5.1_f,outcome,  Thể hiện cam kết giúp đỡ người khác và xã hội một cách rộng rãi {A},,2.5.1_f,,,,2.5.1,
2.5.2,group,   Hành xử chuyên nghiệp (38),,2.5.2,,,,2.5,
2.5.2_a,outcome,  Thực hiện phong cách chuyên nghiệp {aS3},,2.5.2_a,,,,2.5.2,
2.5.2_b,outcome,  Thể hiện sự lịch thiệp chuyên nghiệp {aS3},,2.5.2_b,,,,2.5.2,
2.5.2_c,outcome,  Xác định và phân loại các thông lệ quốc tế và tập quán tiếp xúc trong giao tiếp {cS3},,2.5.2_c,,,,2.5.2,
2.5.3,group,   Chủ động cho tương lai và dự kiến cho cuộc đời (38),,2.5.3,,,,2.5,
2.5.3_a,outcome,  Trình bày tầm nhìn cá nhân cho tương lai của bản thân {aS4},,2.5.3_a,,,,2.5.3,
2.5.3_b,outcome,  Thể hiện khát vọng sử dụng năng lực của bản thân như một nhà lãnh đạo {aS4},,2.5.3_b,,,,2.5.3,
2.5.3_c,outcome,  Chuẩn bị hồ sơ các kỹ năng nghề nghiệp của bản thân {cS5},,2.5.3_c,,,,2.5.3,
2.5.3_d,outcome,  Tiến hành xem xét đóng góp của bản thân cho xã hội {aS4},,2.5.3_d,,,,2.5.3,
2.5.3_e,outcome,  Thực hiện truyền cảm hứng cho những người khác {CP},,2.5.3_e,,,,2.5.3,
